"","region","year","pct_retained"
"660","VA",2016,85.5263157894737
"661","VI",2005,NA
"662","VI",2006,NA
"663","VI",2007,NA
"664","VI",2008,NA
"665","VI",2009,NA
"666","VI",2010,NA
"667","VI",2011,NA
"668","VI",2012,NA
"669","VI",2013,NA
"670","VI",2014,NA
"671","VI",2015,NA
"672","VI",2016,NA
"673","WA",2005,86.6666666666667
"674","WA",2006,86.6666666666667
"675","WA",2007,83.3333333333333
"676","WA",2008,92
"677","WA",2009,100
"678","WA",2010,96.6101694915254
"679","WA",2011,93.9024390243902
"680","WA",2012,93.75
"681","WA",2013,94.6428571428571
"682","WA",2014,92.7927927927928
"683","WA",2015,92.6605504587156
"684","WA",2016,88.1889763779528
"685","WV",2005,66.6666666666667
"686","WV",2006,100
"687","WV",2007,66.6666666666667
"688","WV",2008,100
"689","WV",2009,75
"690","WV",2010,66.6666666666667
"691","WV",2011,100
"692","WV",2012,75
"693","WV",2013,100
"694","WV",2014,100
"695","WV",2015,100
"696","WV",2016,100
"697","WI",2005,93.3333333333333
"698","WI",2006,94.7368421052632
"699","WI",2007,95.8333333333333
"700","WI",2008,100
"701","WI",2009,93.1034482758621
"702","WI",2010,93.5483870967742
"703","WI",2011,90.3225806451613
"704","WI",2012,91.1764705882353
"705","WI",2013,94.4444444444444
"706","WI",2014,97.4358974358974
"707","WI",2015,97.5609756097561
"708","WI",2016,93.75
"709","WY",2005,100
"710","WY",2006,100
"711","WY",2007,100
"712","WY",2008,100
"713","WY",2009,100
"714","WY",2010,66.6666666666667
"715","WY",2011,100
"716","WY",2012,100
"717","WY",2013,100
"718","WY",2014,100
"719","WY",2015,100
"720","WY",2016,100
